объект	уровень объекта 	площадь	срок	сумма	что было реализовано	коммент своими словами - впечатления от ремонта и то чем хочешь выебнуться
КП Династия 	премиум	250	10 месяцев 	55.000₽/м2 	Ландшафтные работы + пристройка	Первый полноценный дом "под ключ" )
ЖК Кристал	премиум	71	5 месяцев 	45.000₽/м2	Двухуровневые потолки из гкл, гкл с шумоизоляцией, откосы и стены в один цвет, шторы под заказ. 	Тяжелая работа с УК и их подрядчиками(навязанными и обязательными), борьба с постоянной полицией и рос гвардией на объекте 
ЖК Оникс Делюкс 	премиум	82	6 месяцев 	43.000₽/м2 	Настоящий паркет, плитка на стенах в спальне и гостиной, декоративная штукатурка, двойная раковина 	Один из первых объектов, где получил много опыта, плитка на стенах
ЖК Юнион Парк	премиум	60	3 месяца 	38.000₽/м2 	Обои под покраску, двухуровневый потолок из гкл, столешница из искусственного камня в ванной. 	Быстрый и Качественный ремонт для сдачи
						
ЖК Холанд Парк 	комфорт	42	3,5 месяца 	32.000₽/м2	Стеновые панели, встроенная мебель в цвет стен 	Работа под авторским надзором 
КП Родники	комфорт	190	13 месяцев 	31.000₽/м2 	Балки на потолке, перегородка отделана из декоративного кирпича, летсница из дуба, мансардный этаж 	Работа в условиях жесткого режима, так как все соседи уже жили, пересборка полная крыши 
КП Волга-Волга	комфорт	108	4 месяца 	28.000₽/м2 	Каркасный треугольный дом, окна в пол, второй свет, парная в модном стиле, обустройство котельной	ТРЕУГОЛЬНЫЙ ДОМ 
ЖК Римского-Корсакого 11к11	комфорт	50	3 месяца 	28.000₽/м2	Шумоизоляция матовая на потолке, полный демонтаж готового ремонта от ПИКа, мелкоформатная плитка, стеновые панели 	Очень быстро, дешево и качественно сделали ремонт для хорошего знакомого 
ЖК Холанд Парк 2	комфорт	58	3 месяца 	27.000₽/м2 	Антресоль - 2 этаж, декоративная штукатурка, стеклянные перегородки 	2х этажная квартира со вторым светом на 1ом этаже 
ЖК Молодогвардейская 36	комфорт	50	2 месяца 	18.000₽/м2	Частичный демонтаж ремонта от ПИК, укладка плитки, покраска обоев и так далее под ключ 	Заказчик отдал деньги и мы сделали все сами и сами сдали квартиру арендаторам 
